cmp-loc-dir,B.10.35.001-1-1,B.10.35.001-1-2,B.10.35.001-2-1,B.10.35.001-2-2,B.10.35.001-3-1,B.10.35.001-3-2,B.20.22.001-1-1,B.20.22.001-1-2,B.20.22.001-2-1,B.20.22.001-2-2,B.20.22.001-3-1,B.20.22.001-3-2,C.10.11.001b-1-1,C.10.11.001b-1-2,C.10.11.001b-2-1,C.10.11.001b-2-2,C.10.11.001b-3-1,C.10.11.001b-3-2,C.10.11.001c-1-1,C.10.11.001c-1-2,C.10.11.001c-2-1,C.10.11.001c-2-2,C.10.11.001c-3-1,C.10.11.001c-3-2,C.30.11.001b-1-1,C.30.11.001b-1-2,C.30.11.001b-2-1,C.30.11.001b-2-2,C.30.11.001b-3-1,C.30.11.001b-3-2,C.30.11.002c-1-1,C.30.11.002c-1-2,C.30.11.002c-2-1,C.30.11.002c-2-2,C.30.11.002c-3-1,C.30.11.002c-3-2,C.30.27.002-1-0,C.30.27.002-2-0,C.30.27.002-3-0,C.30.32.003a-1-0,C.30.32.003a-2-0,C.30.32.003a-3-0,C.30.32.003b-1-0,C.30.32.003b-2-0,C.30.32.003b-3-0,C.30.34.002-1-0,C.30.34.002-2-0,C.30.34.002-3-0,D.10.14.021-1-0,D.30.31.013h-4-0,D.30.41.011c-1-0,D.30.41.011c-2-0,D.30.41.011c-3-0,D.30.52.013k-4-0,D.30.67.012b-1-0,D.30.67.012b-2-0,D.30.67.012b-3-0,D.40.11.053a-1-0,D.40.11.053a-2-0,D.40.11.053a-3-0,collapse-0-1,excessiveRID-1-1,irreparable-0-1
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,12.0,12.0,12.0,12.0,12.0,12.0,4080.0,4080.0,3300.0,3300.0,3300.0,3300.0,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,9000.0,9000.0,9000.0,16250.0,16250.0,16250.0,6000.000000000001,6000.000000000001,6000.000000000001,220.0,220.0,220.0,2.0,1.0,1999.9999999999995,1999.9999999999995,1999.9999999999995,1.0,2.0,2.0,2.0,200.0,200.0,200.0,1.0,1.0,1.0
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log_std,3.197442310920451e-14,3.197442310920451e-14,3.197442310920451e-14,3.197442310920451e-14,3.197442310920451e-14,3.197442310920451e-14,6.927791673660977e-14,6.927791673660977e-14,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,6.394884621840902e-14,6.394884621840902e-14,6.394884621840902e-14,6.394884621840902e-14,6.394884621840902e-14,6.394884621840902e-14,2.7533531010703882e-14,2.7533531010703882e-14,2.7533531010703882e-14,2.7533531010703882e-14,2.7533531010703882e-14,2.7533531010703882e-14,2.7533531010703882e-14,2.7533531010703882e-14,2.7533531010703882e-14,2.7533531010703882e-14,2.7533531010703882e-14,2.7533531010703882e-14,2.7533531010703882e-14,2.7533531010703882e-14,2.7533531010703882e-14,2.7533531010703882e-14,2.7533531010703882e-14,2.7533531010703882e-14,4.973799150320701e-14,4.973799150320701e-14,4.973799150320701e-14,7.105427357601002e-15,7.105427357601002e-15,7.105427357601002e-15,6.039613253960852e-14,6.039613253960852e-14,6.039613253960852e-14,2.6645352591003757e-15,2.6645352591003757e-15,2.6645352591003757e-15,1.5543122344752192e-15,0.0,8.08242361927114e-14,8.08242361927114e-14,8.08242361927114e-14,0.0,1.5543122344752192e-15,1.5543122344752192e-15,1.5543122344752192e-15,3.8191672047105385e-14,3.8191672047105385e-14,3.8191672047105385e-14,0.0,0.0,0.0
min,12.0,12.0,12.0,12.0,12.0,12.0,4080.0,4080.0,3300.0,3300.0,3300.0,3300.0,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,9000.0,9000.0,9000.0,16250.0,16250.0,16250.0,6000.000000000001,6000.000000000001,6000.000000000001,220.0,220.0,220.0,2.0,1.0,1999.9999999999998,1999.9999999999998,1999.9999999999998,1.0,2.0,2.0,2.0,200.0,200.0,200.0,1.0,1.0,1.0
0.1%,12.0,12.0,12.0,12.0,12.0,12.0,4080.0,4080.0,3300.0,3300.0,3300.0,3300.0,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,9000.0,9000.0,9000.0,16250.0,16250.0,16250.0,6000.000000000001,6000.000000000001,6000.000000000001,220.0,220.0,220.0,2.0,1.0,1999.9999999999998,1999.9999999999998,1999.9999999999998,1.0,2.0,2.0,2.0,200.0,200.0,200.0,1.0,1.0,1.0
2.3%,12.0,12.0,12.0,12.0,12.0,12.0,4080.0,4080.0,3300.0,3300.0,3300.0,3300.0,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,9000.0,9000.0,9000.0,16250.0,16250.0,16250.0,6000.000000000001,6000.000000000001,6000.000000000001,220.0,220.0,220.0,2.0,1.0,1999.9999999999998,1999.9999999999998,1999.9999999999998,1.0,2.0,2.0,2.0,200.0,200.0,200.0,1.0,1.0,1.0
10%,12.0,12.0,12.0,12.0,12.0,12.0,4080.0,4080.0,3300.0,3300.0,3300.0,3300.0,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,9000.0,9000.0,9000.0,16250.0,16250.0,16250.0,6000.000000000001,6000.000000000001,6000.000000000001,220.0,220.0,220.0,2.0,1.0,1999.9999999999998,1999.9999999999998,1999.9999999999998,1.0,2.0,2.0,2.0,200.0,200.0,200.0,1.0,1.0,1.0
15.9%,12.0,12.0,12.0,12.0,12.0,12.0,4080.0,4080.0,3300.0,3300.0,3300.0,3300.0,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,9000.0,9000.0,9000.0,16250.0,16250.0,16250.0,6000.000000000001,6000.000000000001,6000.000000000001,220.0,220.0,220.0,2.0,1.0,1999.9999999999998,1999.9999999999998,1999.9999999999998,1.0,2.0,2.0,2.0,200.0,200.0,200.0,1.0,1.0,1.0
50%,12.0,12.0,12.0,12.0,12.0,12.0,4080.0,4080.0,3300.0,3300.0,3300.0,3300.0,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,9000.0,9000.0,9000.0,16250.0,16250.0,16250.0,6000.000000000001,6000.000000000001,6000.000000000001,220.0,220.0,220.0,2.0,1.0,1999.9999999999998,1999.9999999999998,1999.9999999999998,1.0,2.0,2.0,2.0,200.0,200.0,200.0,1.0,1.0,1.0
84.1%,12.0,12.0,12.0,12.0,12.0,12.0,4080.0,4080.0,3300.0,3300.0,3300.0,3300.0,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,9000.0,9000.0,9000.0,16250.0,16250.0,16250.0,6000.000000000001,6000.000000000001,6000.000000000001,220.0,220.0,220.0,2.0,1.0,1999.9999999999998,1999.9999999999998,1999.9999999999998,1.0,2.0,2.0,2.0,200.0,200.0,200.0,1.0,1.0,1.0
90%,12.0,12.0,12.0,12.0,12.0,12.0,4080.0,4080.0,3300.0,3300.0,3300.0,3300.0,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,9000.0,9000.0,9000.0,16250.0,16250.0,16250.0,6000.000000000001,6000.000000000001,6000.000000000001,220.0,220.0,220.0,2.0,1.0,1999.9999999999998,1999.9999999999998,1999.9999999999998,1.0,2.0,2.0,2.0,200.0,200.0,200.0,1.0,1.0,1.0
97.7%,12.0,12.0,12.0,12.0,12.0,12.0,4080.0,4080.0,3300.0,3300.0,3300.0,3300.0,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,9000.0,9000.0,9000.0,16250.0,16250.0,16250.0,6000.000000000001,6000.000000000001,6000.000000000001,220.0,220.0,220.0,2.0,1.0,1999.9999999999998,1999.9999999999998,1999.9999999999998,1.0,2.0,2.0,2.0,200.0,200.0,200.0,1.0,1.0,1.0
99.9%,12.0,12.0,12.0,12.0,12.0,12.0,4080.0,4080.0,3300.0,3300.0,3300.0,3300.0,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,9000.0,9000.0,9000.0,16250.0,16250.0,16250.0,6000.000000000001,6000.000000000001,6000.000000000001,220.0,220.0,220.0,2.0,1.0,1999.9999999999998,1999.9999999999998,1999.9999999999998,1.0,2.0,2.0,2.0,200.0,200.0,200.0,1.0,1.0,1.0
max,12.0,12.0,12.0,12.0,12.0,12.0,4080.0,4080.0,3300.0,3300.0,3300.0,3300.0,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,599.9999999999999,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,299.99999999999994,9000.0,9000.0,9000.0,16250.0,16250.0,16250.0,6000.000000000001,6000.000000000001,6000.000000000001,220.0,220.0,220.0,2.0,1.0,1999.9999999999998,1999.9999999999998,1999.9999999999998,1.0,2.0,2.0,2.0,200.0,200.0,200.0,1.0,1.0,1.0
