type-loc-dir,ONE-0-1,PFA-0-1,PFA-0-2,PFA-1-1,PFA-1-2,PFA-2-1,PFA-2-2,PFA-3-1,PFA-3-2,PID-1-1,PID-1-2,PID-2-1,PID-2-2,PID-3-1,PID-3-2,RID-1-1,SA_1.13-0-1
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,1.0,7.689839718108761,5.943958352080882,10.209411507272005,8.58457611730723,8.727620156310131,7.414593488754812,8.096233140567948,7.001313507591535,0.027117774392600366,0.025353726932585367,0.042028881691679607,0.03881169832461648,0.04417221358148377,0.04248970129696945,0.005306359637267137,8.437800000000005
std,0.0,2.0325355570322676,1.9500545854801663,3.5207721418220137,3.4732147916293457,2.174845472682805,2.822920715963137,1.8022464945113634,1.3592937748830443,0.01423926257320939,0.010966907448449852,0.018640001958205213,0.015403648720568165,0.016176220492483354,0.014359923339601972,0.0020958778507978175,4.8158012308866956e-14
log_std,0.0,0.2590091603491786,0.31544359698964924,0.34668547180097165,0.38504716970533975,0.2471202429782661,0.3715849767902424,0.2232545641225025,0.19399164872093896,0.4969352747698965,0.4180950467624825,0.4385674294527182,0.3828546604040725,0.36398189256299684,0.3258900962350694,0.39128725859070584,2.3540339212010747e-14
min,1.0,3.3187998666989778,2.53651085660923,3.3394513786496014,2.433857139790961,3.727055047369449,2.0901587074848527,3.7873965188573337,3.6344168232606453,0.006166669574583442,0.006284567246285686,0.009751633680568243,0.010457317772900265,0.01334292698288006,0.013255923703795188,0.001386758203960619,8.437799999999994
0.1%,1.0,3.5159652649114737,2.6033689710410837,3.4225687420103608,2.639520980533888,4.062129332865186,2.2226732216494813,4.007332848132111,3.855301760842238,0.006832609968176459,0.00649530186041086,0.011032505607230885,0.010773167316942039,0.014104194078730809,0.014316513363903004,0.0015730429846993665,8.437799999999994
2.3%,1.0,4.4830707053566865,3.0719309416087093,4.722595646601064,3.720584623063122,5.114037721882708,3.4041592295706797,5.057400623200763,4.47467363729707,0.008794948520760737,0.01060833035170844,0.016654216775296774,0.016058835422876755,0.019761313376107335,0.02170682693966782,0.002279067236602817,8.437799999999998
10%,1.0,5.2947285010512735,3.6476363574689152,6.301821047177916,4.829144338857687,6.10397897045518,4.258409524658193,5.970302628719546,5.394851292784467,0.012710849318704863,0.013893849672553658,0.021263697234630664,0.022336470920237626,0.02579738054906252,0.027091252747662248,0.002941670561297911,8.437800000000001
15.9%,1.0,5.7807947581087005,4.212228078379747,6.825936063693939,5.484525415016316,6.6180577251568256,4.632289674866604,6.349459268914765,5.702450855208261,0.014511768779352563,0.015167019974458724,0.02415618698773781,0.025000306093927362,0.028454164694747805,0.02899982450812085,0.0032451924603611754,8.437800000000001
50%,1.0,7.363807714361823,5.6413178357832425,9.828049777425317,7.843239324398785,8.500637233883523,6.925341921892166,7.881857326646585,6.889158506282845,0.02384165560832366,0.023311865710635263,0.040105348477036895,0.035516166654262576,0.04226016317442002,0.04007726939869423,0.004974967868057031,8.437800000000005
84.1%,1.0,9.629668508911308,7.749289891420356,13.439200608791795,11.654030979691639,10.751670287402069,9.844275643658976,9.939646848770295,8.355410651146972,0.040978800482402156,0.035575943269578664,0.0589128565026658,0.05117458364446573,0.05926592254991783,0.05559769069903668,0.007308220946604668,8.437800000000008
90%,1.0,10.410479817825555,8.57301140817241,14.716021411899403,12.897052680567176,11.735090009905646,11.210651093670329,10.563487679956753,8.828427672084471,0.04689143527725054,0.039156197976010484,0.0653021266493512,0.058702645515370064,0.06532408354854866,0.05991558603053542,0.007929836402950937,8.437800000000008
97.7%,1.0,12.36984559630948,10.74659023783758,18.54725094886221,17.907901091992137,13.482837449562554,15.235196886443577,12.097494207298041,9.865561613304076,0.059830564099525176,0.05488125692530932,0.08531112710144802,0.07706148948589728,0.08331974637207834,0.07748705525230326,0.01050919113025217,8.437800000000012
99.9%,1.0,16.028920466275878,14.045021252720238,23.472343588471432,22.335169454468886,18.115941961422816,18.929395994482153,13.849730045708613,12.141531639925377,0.10349520845030827,0.07278614953829925,0.1310680449595728,0.10054420434382538,0.11371402559905576,0.10908786360432626,0.014037730826421665,8.437800000000015
max,1.0,16.54682150550036,14.234652133053007,23.904850636703824,22.61341260352689,19.326948915052846,18.992980830758682,14.052120390057368,12.58101745184187,0.10895897627668832,0.07417764919131307,0.13974290963579436,0.10257415336775429,0.1176122742219664,0.10973549167229446,0.014635652956717685,8.437800000000015
