,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,500.0,500.0,500.0,500.0,500.0
mean,5138953.096308655,709.1523995110579,1652.959849675515,0.084,0.06
std,6131158.476323639,260.85723101483245,571.9789451720774,0.2776656197529411,0.23772468540751895
log_std,0.7520024349100705,0.2693570518000918,0.37882173049147655,,
min,812121.1898628594,267.48655445879024,681.1499062592991,0.0,0.0
0.1%,890491.015954678,279.9154045506653,700.530060328788,0.0,0.0
2.3%,1700234.4481119562,430.43460834534073,719.9924543214925,0.0,0.0
10%,1954089.5389310631,508.1865202774144,720.0035170500871,0.0,0.0
15.9%,2136837.3582741157,541.6498523412528,1133.325114149038,0.0,0.0
50%,2704962.8665627423,686.2928158560264,1673.5675078712243,0.0,0.0
84.1%,4051646.170599725,795.3009064981393,2091.1298757191134,0.0,0.0
90%,19999859.131937582,847.2223289226766,2235.0072063077737,0.0,0.0
97.7%,20000145.81627421,1543.5740470281175,2981.674502304105,1.0,1.0
99.9%,20000565.243280612,2887.036525287154,4732.815416783593,1.0,1.0
max,20000591.17357131,3386.4495654342595,4969.142641204416,1.0,1.0
